FECHA;TASA_DE_DESEMPLEO;CANTIDAD_DE_SISMOS;MAX_MAGNITUD;MIN_MAGNITUD;PROM_MAGNITUD
Jun11;7.301439063;70;6.1;4.5;4.711428571
Jul11;6.966771584;60;5.6;4;4.701666667
Ago11;7.016655057;77;7;4.3;4.693506494
Sep11;7.305544517;91;5.5;4.2;4.658241758
Oct11;7.318504853;198;6.9;4.3;4.730808081
Nov11;7.045535658;109;5.9;4.1;4.705504587
Dic11;6.985347605;69;5.6;4.4;4.652173913
Ene12;7.755398671;64;6.4;4.5;4.6765625
Feb12;8.314935936;69;5.3;4.3;4.749275362
Mar12;8.660130719;72;5.3;4.2;4.6625
Abr12;8.055111738;60;5.7;4.2;4.696666667
May12;7.219345851;58;6.2;4.5;4.743103448
Jun12;6.285822259;45;6.2;4.3;4.733333333
Jul12;6.20804323;63;6;4.5;4.757142857
Ago12;6.661244239;56;6.4;4.5;4.726785714
Sep12;6.602307804;60;5.4;4.5;4.713333333
Oct12;6.222500261;58;6.2;4.5;4.682758621
Nov12;5.91418951;74;6.2;4.5;4.77027027
Dic12;5.637761428;78;5.5;4.5;4.694871795
Ene13;6.130196664;79;5.3;4.3;4.672151899
Feb13;6.402394962;67;5.6;4.5;4.688059701
Mar13;6.391379452;82;5.7;4.5;4.667073171
Abr13;5.613152567;75;5.4;4.5;4.673333333
May13;5.670187842;99;6;4.5;4.691919192
Jun13;5.777933191;73;5.5;4.2;4.668493151
Jul13;6.03026348;73;6.2;4.5;4.720547945
Ago13;5.561135595;64;6.2;4.2;4.634375
Sep13;5.941463614;60;7.1;4.5;4.716666667
Oct13;5.768170963;100;5.4;4;4.676
Nov13;5.766691719;111;5.8;4.1;4.664864865
Dic13;5.682807785;108;5.5;4.5;4.637962963
Ene14;6.369063385;67;5.8;4.5;4.720895522
Feb14;6.975484492;87;6.1;4.5;4.663218391
Mar14;6.948005127;114;6.4;4.5;4.770175439
Abr14;6.280047472;79;5.3;4.5;4.692405063
May14;5.799734613;99;5.7;4.2;4.735353535
Jun14;5.672629258;81;5.8;4.4;4.767901235
Jul14;5.735264124;72;5.8;4.2;4.763888889
Ago14;5.898101574;109;6.9;4.2;4.694495413
Sep14;5.607209269;58;5.8;4.5;4.710344828
Oct14;5.693179518;85;6.2;4;4.767058824
Nov14;5.423093963;92;6;4.2;4.715217391
Dic14;5.556896344;82;5.9;4;4.684146341
Ene15;6.353278655;80;5.5;4.5;4.68625
Feb15;6.891138527;84;5.4;4.2;4.661904762
Mar15;7.025578465;101;5.4;4.4;4.715841584
Abr15;6.808493606;60;5.9;4.5;4.785
May15;6.976650806;58;5.7;4;4.736206897
Jun15;6.82215392;57;6;4.5;4.747368421
Jul15;6.438112021;53;5.7;4.4;4.767924528
Ago15;6.143659711;44;5.4;4.2;4.706818182
Sep15;6.438506955;59;5.3;4.5;4.757627119
Oct15;5.83096746;52;5.6;4.5;4.776923077
Nov15;5.761373458;81;7.6;4.1;4.822222222
Dic15;5.689115114;85;5.6;4;4.712941176
Ene16;6.589756692;120;5.7;4.2;4.75
Feb16;6.900868477;69;5.9;4.5;4.773913043
Mar16;7.222081441;87;5.4;4.2;4.716091954
Abr16;6.979894344;58;5.4;4.5;4.731034483
May16;7.108302122;89;5.6;4.5;4.68988764
Jun16;6.977883127;68;5.6;4.5;4.736764706
Jul16;7.100882451;56;5.7;4.5;4.7375
Ago16;6.810755482;71;5.6;4.5;4.815492958
Sep16;6.50809317;75;6.2;4.5;4.708
Oct16;6.198282286;73;5.7;4.5;4.773972603
Nov16;5.836454432;94;5.6;4.4;4.696808511
Dic16;6.244589369;86;6.2;4.5;4.761627907
Ene17;7.195267181;93;6.1;4.5;4.738709677
Feb17;7.73794666;63;5.8;4.5;4.726984127
Mar17;7.733986348;74;5.3;4.5;4.718918919
Abr17;6.819540607;80;6.2;4.5;4.72375
May17;6.603627044;69;5.9;4.1;4.728985507
Jun17;6.925025623;76;6.2;4;4.731578947
Jul17;7.062380833;62;6.5;4.1;4.790322581
Ago17;6.676696311;69;6.2;4.5;4.814492754
Sep17;6.427929564;60;5.6;4.5;4.71
Oct17;6.199460916;43;6.4;4.2;4.820930233
Nov17;6.560536561;50;5.9;4.3;4.776
Dic17;6.454948656;41;5.3;4;4.753658537
Ene18;7.300441235;57;7.1;4.5;4.857894737
Feb18;8.027418126;38;5.7;4.5;4.815789474
Mar18;8.061365203;42;5.5;4.5;4.688095238
Abr18;7.324524555;48;5.7;4.5;4.80625
May18;6.636802338;54;5.8;4.3;4.794444444
Jun18;6.222985489;38;5.4;4.5;4.765789474
Jul18;6.168389163;38;5.1;4.5;4.713157895
Ago18;6.084898458;34;7.1;4.5;4.867647059
Sep18;6.181887585;52;5.8;4.4;4.817307692
Oct18;6.425933368;46;5.6;4.4;4.817391304
Nov18;6.247634189;42;5.9;4.2;4.69047619
Dic18;6.126947642;54;5.3;4.5;4.694444444
Ene19;6.476251848;50;7;4;4.484
Feb19;7.559058116;45;5.5;4;4.335555556
Mar19;8.15790975;42;7;4;4.457142857
Abr19;7.331316936;46;5.3;4;4.345652174
May19;6.709981601;77;8;4;4.463636364
Jun19;6.307995485;49;5.1;4;4.230612245
Jul19;6.003791869;50;5;4;4.208
Ago19;5.827430164;41;5.1;4;4.363414634
Sep19;5.749808722;36;5.1;4;4.388888889
Oct19;6.417700862;52;4.9;4;4.221153846
Nov19;6.32622239;36;5.4;4;4.277777778
Dic19;6.102196341;41;5.3;4;4.3
Ene20;6.338551932;73;5.4;3.2;3.9
Feb20;7.068077431;67;5.2;3.3;4.050746269
Mar20;7.766433406;68;5.2;3.3;3.851470588
Abr20;8.982468373;90;5.2;3.3;3.997777778
May20;13.12408411;99;5.8;3.4;4.083838384
